uf,regiao,bioma,mes,precipitacao_mm,precipitacao_max_24h_mm,dias_com_chuva,temperatura_media_c,umidade_relativa_pct,rajada_vento_max_kmh,altitude_m,declividade_media_pct,densidade_demografica_hab_km2,pct_area_urbana,indice_vegetacao_ndvi,tipo_desastre
MG,Sudeste,Mata Atlantica,11,300.9,84.7,21,25.4,86.6,27.6,822.0,19.4,34.7,21.8,0.592,deslizamento
RN,Nordeste,Caatinga,6,49.2,23.8,2,25.3,68.4,15.9,164.0,3.2,11.8,19.6,0.258,incendio_florestal
RJ,Sudeste,Cerrado,10,70.7,13.4,4,22.3,82.6,33.0,936.0,17.9,44.0,25.5,0.308,nenhum
SC,Sul,Pampa,12,154.8,60.7,12,20.7,87.4,36.4,9.0,8.3,126.7,32.6,0.469,nenhum
RN,Nordeste,Cerrado,7,53.7,9.1,5,25.8,55.8,43.1,232.0,3.0,35.3,16.9,0.299,incendio_florestal
PR,Sul,Mata Atlantica,3,350.7,55.0,24,18.2,81.8,34.5,468.0,12.4,20.1,18.0,0.676,deslizamento
SC,Sul,Mata Atlantica,1,313.1,97.9,25,20.6,88.7,50.9,437.0,10.4,4.8,13.2,0.556,inundacao
RJ,Sudeste,Mata Atlantica,10,144.5,20.4,9,21.0,75.3,87.4,1149.0,24.2,19.3,20.2,0.527,tempestade
ES,Sudeste,Mata Atlantica,7,48.3,15.2,2,19.2,72.5,43.4,514.0,21.3,90.5,25.2,0.314,incendio_florestal
SP,Sudeste,Mata Atlantica,2,169.3,18.6,14,23.4,83.6,37.8,1137.0,17.5,4.9,13.6,0.548,nenhum
ES,Sudeste,Cerrado,1,178.3,59.3,11,24.6,84.2,40.7,581.0,12.9,25.7,23.9,0.354,nenhum
MG,Sudeste,Mata Atlantica,12,351.7,148.0,26,21.3,87.0,34.4,34.0,14.8,73.7,28.5,0.647,inundacao
AM,Norte,Cerrado,4,292.5,226.7,23,24.2,93.0,35.8,111.0,7.7,296.9,19.7,0.623,inundacao
PR,Sul,Mata Atlantica,4,119.7,37.0,9,19.2,86.4,30.8,315.0,9.2,9.3,15.4,0.404,nenhum
RJ,Sudeste,Cerrado,8,77.8,19.6,5,19.7,76.9,23.6,505.0,14.6,1051.3,19.2,0.361,nenhum
SP,Sudeste,Cerrado,5,243.9,86.6,15,19.1,84.5,30.4,332.0,17.0,98.4,24.8,0.728,deslizamento
CE,Nordeste,Caatinga,11,167.4,53.6,15,26.0,81.3,24.8,580.0,18.5,8.6,18.4,0.655,nenhum
AP,Norte,Amazonia,9,118.7,87.6,9,24.8,84.4,34.5,318.0,6.7,61.7,23.7,0.507,nenhum
GO,Centro-Oeste,Pantanal,5,85.5,30.7,6,24.6,68.4,30.2,512.0,9.9,16.7,15.8,0.377,nenhum
GO,Centro-Oeste,Cerrado,4,145.9,57.6,10,25.3,56.4,34.4,147.0,6.2,4.7,16.4,0.607,nenhum
GO,Centro-Oeste,Cerrado,11,181.6,28.5,13,29.1,66.0,38.9,907.0,17.4,38.8,24.9,0.636,nenhum
SE,Nordeste,Caatinga,8,37.5,9.9,5,26.0,71.5,21.3,287.0,4.4,40.4,25.4,0.276,estiagem_seca
SE,Nordeste,Caatinga,12,82.4,15.6,6,31.7,56.9,25.6,727.0,11.5,75.1,26.1,0.22,incendio_florestal
GO,Centro-Oeste,Cerrado,5,83.8,24.3,1,21.9,70.2,18.0,419.0,6.0,11.9,12.8,0.333,nenhum
PE,Nordeste,Cerrado,1,59.1,25.3,7,29.4,58.8,45.3,169.0,16.5,13.2,17.7,0.181,incendio_florestal
SC,Sul,Mata Atlantica,11,180.4,57.9,15,20.4,69.0,81.1,262.0,3.7,202.7,26.8,0.491,deslizamento
PI,Nordeste,Caatinga,3,29.4,18.3,1,25.5,66.1,37.9,350.0,12.1,154.8,32.5,0.24,estiagem_seca
RN,Nordeste,Caatinga,11,38.0,6.5,1,27.1,61.2,44.1,200.0,4.0,7.6,17.5,0.176,incendio_florestal
BA,Nordeste,Caatinga,9,112.4,40.5,8,24.0,70.3,22.6,777.0,3.8,4.0,12.0,0.509,nenhum
SP,Sudeste,Cerrado,3,143.5,59.7,12,23.7,75.8,68.7,815.0,22.2,9.2,17.9,0.498,incendio_florestal
DF,Centro-Oeste,Cerrado,10,72.7,9.7,9,24.3,74.6,49.8,308.0,6.2,264.5,24.2,0.21,nenhum
ES,Sudeste,Mata Atlantica,1,245.7,140.8,23,27.1,74.0,20.6,524.0,18.1,0.6,9.5,0.709,tempestade
SC,Sul,Mata Atlantica,5,233.0,64.4,19,15.0,97.7,34.7,152.0,10.3,20.5,22.7,0.506,nenhum
AL,Nordeste,Caatinga,5,112.1,53.3,7,27.8,64.0,37.3,341.0,20.1,197.5,17.9,0.574,nenhum
MG,Sudeste,Mata Atlantica,8,70.3,33.1,5,17.6,63.9,36.4,706.0,16.9,66.0,17.2,0.265,nenhum
TO,Norte,Amazonia,7,63.4,29.9,7,25.1,83.8,21.0,35.0,0.1,39.3,19.3,0.27,nenhum
SE,Nordeste,Caatinga,8,89.4,29.9,5,23.7,76.2,23.1,789.0,3.7,196.8,24.6,0.336,nenhum
MS,Centro-Oeste,Cerrado,6,61.5,17.4,8,20.7,63.3,21.9,417.0,6.8,35.4,25.2,0.323,nenhum
RO,Norte,Amazonia,9,116.9,66.0,7,26.9,75.4,45.9,144.0,5.0,21.8,19.9,0.402,nenhum
SP,Sudeste,Cerrado,2,327.5,177.1,24,23.3,88.2,44.1,1096.0,12.8,152.4,26.1,0.541,inundacao
ES,Sudeste,Cerrado,9,174.1,72.6,14,16.7,79.7,39.5,1304.0,19.2,873.4,35.8,0.491,nenhum
SP,Sudeste,Cerrado,1,240.9,71.3,18,25.5,84.8,27.8,779.0,5.8,1.6,9.8,0.643,nenhum
MT,Centro-Oeste,Cerrado,2,91.9,28.2,9,29.3,87.4,22.4,1312.0,10.8,15.2,17.6,0.35,incendio_florestal
RJ,Sudeste,Cerrado,9,57.7,32.7,5,20.4,68.5,13.5,1128.0,12.0,31.2,21.9,0.429,nenhum
PB,Nordeste,Caatinga,2,83.2,16.1,8,28.2,65.4,17.4,203.0,5.2,21.2,22.2,0.334,incendio_florestal
PA,Norte,Amazonia,10,366.0,123.7,26,27.9,95.3,23.1,77.0,4.1,54.1,14.6,0.662,inundacao
AC,Norte,Amazonia,2,303.1,172.3,22,28.4,84.4,93.2,192.0,9.0,47.8,17.8,0.687,tempestade
RJ,Sudeste,Mata Atlantica,2,158.9,45.5,8,24.6,79.1,14.2,572.0,19.1,7.9,13.1,0.561,nenhum
PR,Sul,Mata Atlantica,12,131.9,21.1,11,24.1,88.6,38.6,496.0,21.9,116.5,30.0,0.446,nenhum
TO,Norte,Amazonia,3,540.6,167.1,24,27.6,92.0,54.4,25.0,4.7,41.2,19.1,0.506,estiagem_seca
RJ,Sudeste,Mata Atlantica,11,197.8,33.3,16,22.7,80.5,14.5,38.0,19.4,322.2,36.4,0.505,nenhum
SP,Sudeste,Mata Atlantica,5,156.6,30.9,15,18.7,87.2,45.3,131.0,14.2,245.0,31.5,0.44,nenhum
RJ,Sudeste,Mata Atlantica,10,73.0,22.3,11,26.5,80.9,32.8,564.0,16.6,35.9,24.6,0.253,incendio_florestal
MG,Sudeste,Mata Atlantica,12,129.2,37.2,7,24.8,72.0,27.1,1000.0,18.7,109.5,29.3,0.334,nenhum
RJ,Sudeste,Mata Atlantica,2,307.6,91.9,23,24.1,87.5,79.3,565.0,19.5,1.6,10.0,0.777,tempestade
RJ,Sudeste,Mata Atlantica,4,78.2,28.6,9,20.0,69.9,13.5,1172.0,15.7,2.0,10.0,0.399,nenhum
PR,Sul,Mata Atlantica,7,85.7,19.1,3,15.5,85.1,37.6,120.0,15.1,254.0,28.2,0.311,nenhum
AM,Norte,Amazonia,11,650.4,100.2,28,23.6,95.1,57.6,355.0,5.3,40.2,14.9,0.708,inundacao
SC,Sul,Pampa,3,296.1,138.5,25,22.0,96.3,39.5,506.0,10.0,331.6,28.9,0.728,inundacao
RR,Norte,Cerrado,3,209.1,126.0,13,28.2,97.9,75.0,86.0,2.1,256.2,21.4,0.628,tempestade
RJ,Sudeste,Mata Atlantica,5,57.0,26.5,9,22.0,56.0,24.5,1456.0,11.7,4.9,16.8,0.427,nenhum
AP,Norte,Amazonia,3,78.3,14.1,9,26.3,79.4,31.3,329.0,2.9,131.6,23.4,0.369,nenhum
PI,Nordeste,Cerrado,4,33.7,17.7,2,27.6,80.3,67.4,651.0,11.9,15.2,18.6,0.332,estiagem_seca
AM,Norte,Amazonia,2,550.2,287.5,26,27.4,100.0,130.4,131.0,8.6,31.3,20.8,0.651,tempestade
MT,Centro-Oeste,Cerrado,10,96.1,46.3,5,24.4,71.0,60.8,703.0,13.4,7.3,18.2,0.482,nenhum
PB,Nordeste,Caatinga,10,25.9,8.1,5,25.0,67.3,39.0,327.0,7.5,219.4,32.1,0.348,estiagem_seca
PB,Nordeste,Caatinga,2,116.3,18.7,13,30.7,57.2,12.9,492.0,12.7,102.8,28.3,0.418,estiagem_seca
MS,Centro-Oeste,Cerrado,7,56.7,22.4,5,20.4,58.4,25.6,1220.0,4.9,20.0,16.3,0.243,incendio_florestal
AL,Nordeste,Mata Atlantica,8,47.5,6.2,2,22.4,78.5,80.8,19.0,0.9,15.4,15.9,0.327,tempestade
ES,Sudeste,Mata Atlantica,8,102.0,71.1,12,18.6,88.2,25.6,259.0,17.0,157.6,22.7,0.389,nenhum
SC,Sul,Mata Atlantica,12,240.2,166.5,15,23.6,71.3,20.8,233.0,14.4,15.2,16.0,0.711,deslizamento
SP,Sudeste,Mata Atlantica,8,55.4,14.3,9,19.9,71.6,60.1,1585.0,29.7,19.8,22.2,0.288,deslizamento
AM,Norte,Cerrado,9,127.3,41.3,10,29.9,93.7,44.1,187.0,6.2,16.4,17.4,0.464,estiagem_seca
CE,Nordeste,Caatinga,1,85.3,35.5,6,29.0,73.1,32.0,380.0,7.7,16.2,19.2,0.418,nenhum
RS,Sul,Mata Atlantica,1,291.8,72.1,23,19.3,86.1,43.4,277.0,15.5,136.8,19.7,0.625,deslizamento
AP,Norte,Amazonia,8,65.1,11.5,5,24.1,81.6,34.2,283.0,11.6,69.4,29.5,0.331,nenhum
AL,Nordeste,Caatinga,11,42.7,10.5,6,29.7,66.4,36.1,54.0,12.2,21.2,23.4,0.303,estiagem_seca
RS,Sul,Mata Atlantica,5,155.6,64.2,9,15.9,91.0,54.3,753.0,7.8,10.2,17.0,0.354,nenhum
RS,Sul,Pampa,8,110.6,29.8,9,15.0,80.4,18.6,677.0,20.2,48.1,26.8,0.389,inundacao
MT,Centro-Oeste,Cerrado,3,294.2,106.8,19,28.4,85.8,38.5,991.0,14.7,33.0,23.9,0.555,tempestade
MG,Sudeste,Mata Atlantica,6,53.5,28.6,3,20.8,81.4,15.0,69.0,8.6,158.6,17.7,0.42,nenhum
DF,Centro-Oeste,Amazonia,10,374.2,208.9,26,26.4,68.2,48.6,1220.0,10.5,16.6,22.3,0.621,inundacao
RJ,Sudeste,Mata Atlantica,8,113.3,36.4,11,18.6,71.9,54.9,1463.0,16.9,94.1,20.1,0.392,nenhum
RO,Norte,Amazonia,2,263.8,89.9,20,26.8,84.8,44.4,225.0,12.4,33.6,16.2,0.737,tempestade
MA,Nordeste,Caatinga,11,82.8,45.5,6,31.9,69.8,27.6,359.0,13.0,76.1,30.0,0.171,incendio_florestal
RJ,Sudeste,Cerrado,12,135.6,33.9,12,23.5,71.8,34.1,635.0,13.3,564.7,20.4,0.38,nenhum
AL,Nordeste,Caatinga,6,55.9,21.5,2,28.1,55.9,18.1,49.0,4.7,33.3,21.6,0.405,estiagem_seca
ES,Sudeste,Mata Atlantica,5,53.5,25.6,5,16.2,70.3,40.7,548.0,29.8,1286.9,42.8,0.243,deslizamento
RN,Nordeste,Caatinga,7,62.3,17.3,8,21.7,51.9,16.5,278.0,2.6,35.8,26.3,0.21,incendio_florestal
SC,Sul,Pampa,10,82.0,12.7,4,19.6,84.5,31.3,111.0,12.3,10.3,19.3,0.315,nenhum
SP,Sudeste,Mata Atlantica,6,127.4,62.9,6,18.0,78.9,30.1,646.0,9.9,518.1,37.7,0.302,nenhum
GO,Centro-Oeste,Cerrado,1,176.9,102.2,10,27.3,74.4,45.1,435.0,11.4,750.9,29.7,0.462,tempestade
ES,Sudeste,Mata Atlantica,1,256.6,183.6,18,23.2,83.5,43.0,298.0,13.8,12.1,20.7,0.64,deslizamento
CE,Nordeste,Mata Atlantica,10,46.6,10.5,3,26.1,63.6,31.9,552.0,10.7,15.1,14.3,0.443,estiagem_seca
MT,Centro-Oeste,Cerrado,10,88.1,20.6,7,22.5,62.0,11.3,55.0,21.5,168.6,20.8,0.299,nenhum
PI,Nordeste,Caatinga,10,36.2,22.7,4,28.2,73.1,35.3,426.0,1.2,116.6,19.1,0.19,incendio_florestal
PR,Sul,Mata Atlantica,2,187.2,90.6,15,22.7,93.6,37.5,147.0,9.5,14.7,19.1,0.539,nenhum
SP,Sudeste,Mata Atlantica,3,251.9,150.2,19,20.6,85.6,37.8,1311.0,15.1,12.9,12.5,0.694,deslizamento
PR,Sul,Pampa,5,235.0,87.8,15,16.5,90.3,40.2,626.0,22.1,75.8,18.3,0.624,deslizamento
PR,Sul,Mata Atlantica,3,288.8,88.4,23,18.5,85.7,24.1,16.0,1.4,40.3,19.8,0.666,tempestade
RS,Sul,Mata Atlantica,5,218.6,71.3,14,19.4,88.8,39.3,822.0,6.0,117.5,21.7,0.721,nenhum
AL,Nordeste,Cerrado,7,36.5,14.9,3,25.9,66.2,35.9,16.0,15.7,116.8,15.7,0.22,incendio_florestal
PR,Sul,Mata Atlantica,4,213.8,86.7,17,17.4,72.9,22.3,439.0,15.9,194.6,20.7,0.588,nenhum
SP,Sudeste,Mata Atlantica,2,190.2,46.8,13,27.0,76.1,39.3,346.0,7.3,2.3,10.1,0.69,nenhum
MT,Centro-Oeste,Cerrado,5,111.0,47.9,10,26.4,59.9,54.1,1058.0,6.6,809.4,24.1,0.528,nenhum
RJ,Sudeste,Cerrado,9,90.1,46.1,8,22.0,75.9,36.8,402.0,7.2,107.5,23.9,0.394,estiagem_seca
AL,Nordeste,Mata Atlantica,8,35.2,16.1,4,20.4,75.4,17.7,137.0,9.3,25.8,17.4,0.165,incendio_florestal
MA,Nordeste,Caatinga,4,226.0,84.0,17,26.2,80.3,48.3,414.0,4.9,42.1,24.9,0.667,tempestade
RN,Nordeste,Cerrado,4,160.5,73.4,15,25.6,68.6,21.0,664.0,3.3,130.7,22.2,0.561,nenhum
AP,Norte,Amazonia,8,79.8,25.9,5,24.2,75.1,22.4,31.0,4.6,70.3,20.8,0.386,nenhum
MT,Centro-Oeste,Pantanal,3,399.6,66.2,25,25.6,83.7,21.2,761.0,2.3,71.8,19.6,0.642,inundacao
SC,Sul,Pampa,11,446.3,120.1,27,20.1,91.4,37.3,232.0,15.6,43.0,16.1,0.632,deslizamento
SP,Sudeste,Mata Atlantica,11,135.1,49.0,7,20.1,71.5,70.0,43.0,17.5,603.4,22.7,0.52,tempestade
GO,Centro-Oeste,Cerrado,1,427.5,151.8,26,27.3,75.2,35.2,481.0,9.4,82.3,29.4,0.671,inundacao
DF,Centro-Oeste,Cerrado,12,127.5,31.2,8,27.9,82.2,25.1,1049.0,11.7,272.4,26.9,0.507,nenhum
MT,Centro-Oeste,Cerrado,1,201.4,45.3,20,26.3,65.9,89.8,845.0,14.3,1305.1,42.4,0.497,tempestade
RN,Nordeste,Caatinga,6,110.8,22.3,8,20.3,74.7,29.6,78.0,4.4,209.5,27.7,0.43,nenhum
SP,Sudeste,Cerrado,9,109.0,26.3,14,20.3,86.6,22.8,329.0,19.1,77.6,20.2,0.343,nenhum
PB,Nordeste,Caatinga,4,68.3,26.9,8,24.7,75.4,18.7,782.0,3.3,3.1,15.2,0.467,nenhum
SP,Sudeste,Mata Atlantica,3,269.7,58.1,15,21.1,73.6,33.9,342.0,11.5,26.7,14.1,0.814,nenhum
SP,Sudeste,Mata Atlantica,1,252.3,65.4,25,25.1,76.3,32.4,312.0,23.2,1189.5,42.2,0.602,deslizamento
SP,Sudeste,Cerrado,9,152.3,43.5,9,18.4,75.1,61.1,573.0,1.9,81.1,21.5,0.365,nenhum
RS,Sul,Pampa,1,89.5,31.1,5,22.4,84.8,31.0,403.0,21.9,6.7,16.9,0.476,nenhum
PE,Nordeste,Cerrado,6,36.7,7.7,4,23.2,62.9,7.3,299.0,11.7,35.9,23.9,0.42,estiagem_seca
SC,Sul,Mata Atlantica,5,149.8,44.1,17,16.7,83.0,11.4,795.0,4.5,8.4,14.0,0.484,nenhum
SP,Sudeste,Cerrado,12,294.8,80.8,24,22.7,100.0,27.8,160.0,6.8,24.9,14.1,0.664,inundacao
SP,Sudeste,Mata Atlantica,12,136.5,39.7,11,26.4,82.8,19.1,1352.0,12.4,27.0,22.5,0.434,nenhum
ES,Sudeste,Mata Atlantica,10,131.2,69.1,7,23.2,71.3,29.0,583.0,15.4,20.5,20.8,0.434,nenhum
MG,Sudeste,Mata Atlantica,9,77.2,11.7,7,23.0,80.8,28.0,815.0,13.3,55.5,18.2,0.442,nenhum
SC,Sul,Mata Atlantica,7,78.7,19.8,9,16.7,87.3,23.4,218.0,16.7,2.3,13.5,0.417,nenhum
GO,Centro-Oeste,Amazonia,5,128.7,54.1,11,22.2,59.2,24.7,1000.0,6.3,133.3,25.3,0.361,nenhum
MG,Sudeste,Mata Atlantica,2,307.1,91.7,23,23.2,87.6,26.0,1029.0,15.4,424.0,33.8,0.609,inundacao
SP,Sudeste,Mata Atlantica,12,269.3,95.9,21,21.2,84.7,38.3,1541.0,20.8,3.1,12.6,0.713,deslizamento
MS,Centro-Oeste,Cerrado,5,132.7,45.9,10,24.1,67.0,31.9,219.0,2.6,243.4,18.5,0.419,nenhum
PR,Sul,Mata Atlantica,6,249.4,53.5,20,17.7,87.9,30.9,698.0,5.3,132.0,17.3,0.708,incendio_florestal
PI,Nordeste,Caatinga,2,159.3,72.1,15,29.6,66.9,71.1,150.0,3.6,85.4,25.6,0.499,tempestade
MG,Sudeste,Mata Atlantica,4,148.3,27.5,12,23.2,82.8,37.5,1050.0,25.4,53.1,28.3,0.54,deslizamento
AC,Norte,Amazonia,8,172.4,47.4,12,22.0,90.8,42.2,193.0,5.6,69.3,26.3,0.564,nenhum
PI,Nordeste,Mata Atlantica,6,105.2,21.8,8,25.6,67.2,34.5,59.0,10.5,181.2,24.7,0.364,nenhum
MG,Sudeste,Mata Atlantica,8,96.6,31.4,5,20.5,76.3,17.6,541.0,20.2,68.6,27.8,0.373,nenhum
PI,Nordeste,Caatinga,3,108.0,74.0,4,29.2,49.4,14.1,477.0,12.4,2800.8,34.1,0.318,incendio_florestal
AL,Nordeste,Caatinga,1,72.6,19.4,3,32.3,66.9,23.6,330.0,14.6,19.1,18.7,0.499,estiagem_seca
MA,Nordeste,Caatinga,11,28.1,7.0,4,29.1,68.2,30.2,641.0,11.1,582.9,25.6,0.301,estiagem_seca
DF,Centro-Oeste,Cerrado,6,74.2,32.3,4,21.2,88.2,35.4,1159.0,5.1,40.8,22.8,0.247,nenhum
SP,Sudeste,Cerrado,5,40.8,21.4,6,21.6,74.8,21.0,178.0,14.8,27.3,20.0,0.277,incendio_florestal
SC,Sul,Mata Atlantica,4,117.0,55.1,8,19.3,81.7,53.2,746.0,15.4,224.0,34.5,0.273,nenhum
AM,Norte,Amazonia,8,103.3,38.3,7,21.6,81.0,20.3,348.0,2.3,31.2,18.3,0.381,nenhum
RJ,Sudeste,Mata Atlantica,7,37.4,11.9,4,17.4,62.6,30.0,799.0,15.5,672.4,29.6,0.264,incendio_florestal
MT,Centro-Oeste,Cerrado,5,71.7,35.7,4,24.1,73.7,38.8,698.0,2.9,16.1,14.2,0.427,nenhum
RJ,Sudeste,Cerrado,12,173.3,34.4,17,22.5,89.0,36.9,1117.0,23.4,331.8,33.0,0.563,deslizamento
GO,Centro-Oeste,Cerrado,11,223.9,163.9,16,25.9,77.8,94.0,1210.0,7.5,121.9,32.2,0.49,tempestade
RN,Nordeste,Caatinga,3,150.0,29.3,8,27.0,69.0,42.5,24.0,14.8,38.6,26.5,0.483,nenhum
MT,Centro-Oeste,Cerrado,8,86.3,45.8,11,20.0,72.6,36.3,1155.0,9.2,11.3,16.2,0.409,nenhum
SP,Sudeste,Mata Atlantica,12,245.1,89.4,21,25.0,78.7,58.3,712.0,27.1,11.3,16.6,0.677,deslizamento
MS,Centro-Oeste,Pantanal,6,37.4,9.1,2,25.2,63.1,47.0,1023.0,21.9,13.8,15.1,0.197,incendio_florestal
GO,Centro-Oeste,Cerrado,1,390.3,149.5,24,27.6,96.1,24.5,648.0,4.8,260.2,35.8,0.566,inundacao
SP,Sudeste,Mata Atlantica,2,280.6,147.2,23,22.2,74.6,37.5,679.0,19.5,52.9,16.0,0.669,deslizamento
RJ,Sudeste,Mata Atlantica,9,94.4,39.2,9,19.6,72.2,46.9,744.0,12.9,161.6,30.0,0.414,nenhum
MA,Nordeste,Caatinga,11,92.5,24.0,3,28.3,68.1,40.2,327.0,17.1,62.1,22.7,0.313,incendio_florestal
SP,Sudeste,Mata Atlantica,2,121.1,15.1,13,30.0,73.6,28.0,173.0,16.0,9.5,17.1,0.408,estiagem_seca
PR,Sul,Mata Atlantica,7,188.9,85.1,14,13.9,96.4,61.6,307.0,11.4,84.2,24.9,0.527,tempestade
BA,Nordeste,Caatinga,6,51.6,18.7,2,25.4,63.8,74.9,302.0,10.3,124.0,23.1,0.189,incendio_florestal
ES,Sudeste,Mata Atlantica,4,168.1,22.7,19,25.3,73.1,25.5,714.0,19.3,3.6,13.2,0.515,nenhum
PE,Nordeste,Caatinga,8,30.3,11.3,3,26.1,49.2,86.5,267.0,10.6,20.2,20.3,0.3,estiagem_seca
RJ,Sudeste,Mata Atlantica,11,196.5,34.0,18,24.4,85.3,49.3,972.0,13.1,14.6,21.5,0.501,nenhum
CE,Nordeste,Caatinga,3,177.4,28.8,14,27.9,80.7,37.1,212.0,5.2,7.5,14.5,0.522,nenhum
ES,Sudeste,Mata Atlantica,1,119.3,60.0,10,24.1,83.6,53.7,630.0,20.8,61.4,21.0,0.39,nenhum
PB,Nordeste,Mata Atlantica,5,64.2,13.1,4,23.7,62.0,12.2,217.0,2.6,74.6,17.5,0.388,nenhum
GO,Centro-Oeste,Amazonia,4,203.1,78.8,16,24.8,76.3,23.0,1033.0,11.6,354.2,31.2,0.436,nenhum
SC,Sul,Pampa,9,110.3,33.3,8,19.7,73.7,49.4,379.0,17.0,165.7,32.6,0.341,nenhum
PB,Nordeste,Caatinga,7,120.8,25.8,9,23.8,62.5,36.2,340.0,16.5,31.3,20.0,0.544,nenhum
SC,Sul,Pampa,1,217.5,28.1,24,22.5,94.4,55.3,440.0,10.7,31.4,16.5,0.7,nenhum
SC,Sul,Mata Atlantica,5,128.6,27.5,12,17.3,90.3,48.0,613.0,18.6,705.4,29.1,0.497,nenhum
RS,Sul,Pampa,9,134.2,43.5,8,18.8,87.3,65.7,188.0,6.5,105.6,23.2,0.547,nenhum
PI,Nordeste,Caatinga,6,66.6,35.6,5,24.9,74.2,21.5,370.0,12.6,277.0,21.6,0.267,nenhum
SP,Sudeste,Cerrado,7,42.9,9.0,4,17.4,60.0,44.8,1144.0,18.4,5.9,14.9,0.401,estiagem_seca
AM,Norte,Amazonia,4,392.0,118.2,30,28.3,100.0,31.3,12.0,5.4,4.6,14.5,0.54,inundacao
SE,Nordeste,Cerrado,4,81.7,51.9,5,29.2,72.1,46.3,358.0,13.0,26.5,16.2,0.339,incendio_florestal
PR,Sul,Mata Atlantica,2,204.5,134.0,18,21.8,81.3,45.8,396.0,11.5,214.0,25.1,0.616,deslizamento
ES,Sudeste,Mata Atlantica,1,273.3,142.0,24,25.6,79.3,35.5,1159.0,23.9,537.8,32.4,0.646,deslizamento
RJ,Sudeste,Mata Atlantica,1,486.1,338.5,25,26.2,80.9,45.5,428.0,9.2,15.7,21.4,0.681,inundacao
PI,Nordeste,Cerrado,8,43.6,13.0,3,23.0,65.7,16.5,577.0,5.9,109.0,17.0,0.24,incendio_florestal
SP,Sudeste,Mata Atlantica,2,134.0,48.7,10,23.8,76.2,53.5,844.0,5.7,91.9,29.5,0.235,nenhum
RJ,Sudeste,Mata Atlantica,7,69.9,38.9,3,17.7,86.7,42.4,669.0,13.3,8.6,12.7,0.394,nenhum
MT,Centro-Oeste,Amazonia,12,145.5,69.7,11,28.6,73.4,35.0,1222.0,5.7,13.8,16.9,0.561,nenhum
PR,Sul,Mata Atlantica,9,204.2,63.5,18,20.9,86.6,42.2,371.0,13.1,41.9,25.6,0.578,nenhum
SE,Nordeste,Mata Atlantica,7,45.6,13.1,2,22.5,69.2,70.6,24.0,17.8,7.3,18.2,0.324,incendio_florestal
AL,Nordeste,Mata Atlantica,2,161.5,96.8,13,30.9,60.4,35.7,117.0,6.9,2210.9,41.6,0.471,tempestade
ES,Sudeste,Mata Atlantica,6,37.7,12.5,4,19.4,67.8,28.8,243.0,14.7,10.1,12.6,0.25,incendio_florestal
SC,Sul,Mata Atlantica,11,157.1,72.5,8,20.3,76.7,30.1,597.0,22.6,24.9,16.8,0.501,nenhum
RN,Nordeste,Caatinga,5,127.7,19.0,6,24.2,66.5,45.2,534.0,4.5,85.6,18.1,0.372,nenhum
MA,Nordeste,Caatinga,10,69.7,18.1,7,26.3,73.9,23.4,83.0,4.8,71.0,22.6,0.409,nenhum
PI,Nordeste,Cerrado,9,41.8,16.4,2,27.7,58.9,32.0,213.0,18.0,124.6,22.3,0.125,incendio_florestal
PR,Sul,Pampa,4,224.0,73.2,20,20.2,81.0,28.5,1176.0,18.9,10.8,19.9,0.604,nenhum
AL,Nordeste,Caatinga,2,79.2,15.7,10,27.6,58.2,41.8,159.0,1.7,6.5,12.9,0.505,nenhum
MS,Centro-Oeste,Cerrado,1,325.2,120.2,27,23.7,83.9,42.1,985.0,10.8,57.4,26.6,0.683,inundacao
RS,Sul,Mata Atlantica,4,239.3,78.4,17,18.8,86.5,49.8,187.0,12.7,12.7,15.4,0.584,deslizamento
AP,Norte,Amazonia,4,274.8,124.8,19,27.2,88.2,22.0,378.0,2.3,16.5,21.3,0.695,tempestade
MG,Sudeste,Mata Atlantica,8,34.5,6.0,2,16.8,84.3,25.3,568.0,4.6,14.8,14.9,0.353,estiagem_seca
MS,Centro-Oeste,Pantanal,7,65.6,24.7,5,20.7,58.7,34.5,795.0,5.7,14.8,16.4,0.36,nenhum
SP,Sudeste,Cerrado,6,35.5,13.2,3,16.8,72.4,45.1,196.0,10.8,5.6,13.5,0.343,estiagem_seca
PB,Nordeste,Cerrado,9,38.3,15.7,2,29.2,64.1,33.1,154.0,3.9,9.9,18.2,0.208,estiagem_seca
MS,Centro-Oeste,Cerrado,10,190.7,36.1,13,21.6,66.5,34.8,1035.0,15.8,28.5,20.7,0.512,nenhum
AL,Nordeste,Caatinga,9,31.8,5.3,5,24.4,64.0,52.4,35.0,25.5,270.2,35.4,0.254,estiagem_seca
SP,Sudeste,Cerrado,11,243.5,46.3,21,20.6,92.7,28.4,709.0,23.5,1039.0,22.9,0.626,deslizamento
SP,Sudeste,Mata Atlantica,5,100.2,40.0,10,21.1,73.8,42.2,950.0,19.6,197.8,35.0,0.324,nenhum
PE,Nordeste,Mata Atlantica,10,82.7,9.3,7,28.5,69.8,46.0,169.0,14.1,70.9,16.2,0.309,incendio_florestal
BA,Nordeste,Cerrado,6,109.9,33.0,9,23.6,56.7,23.7,449.0,4.7,228.8,26.9,0.495,nenhum
SC,Sul,Mata Atlantica,3,136.8,62.4,10,21.2,75.3,32.8,423.0,15.9,39.1,16.6,0.483,nenhum
